Fruits,RetailCost_2013,RetailCost_2016,RetailCost_2020,RetailCost_2022
Apples,1.57,1.62,1.5193,1.8541
"Apples, applesauce",1.08,1.05,1.066,1.1705
"Apples, ready-to-drink",0.73,0.63,0.7804,0.8699
"Apples, frozen concentrate",0.54,0.51,0.5853,0.6086
Apricots,3.04,3.09,2.9665,3.6162
"Apricots, packed in juice",1.65,1.47,1.6905,1.8645
"Apricots, packed in syrup or water",1.55,1.86,2.06,2.2362
Apricots,7.73,7.33,6.6188,7.6611
Bananas,0.57,0.55,0.5249,0.5971
"Berries, mixed",3.41,3.64,3.5585,4.2673
Blackberries,5.77,5.66,6.0172,6.7483
Blackberries,3.39,3.69,3.6362,4.8277
Blueberries,4.73,4.39,4.1739,4.1575
Blueberries,3.64,3.47,3.3898,3.821
Cantaloupe,0.54,0.52,0.5767,0.7523
Cherries,3.59,3.21,3.4269,4.6632
"Cherries, packed in syrup or water",3.52,3.73,4.5257,5.2418
Cranberries,4.79,4.69,4.6513,5.0828
Dates,4.79,5.51,5.5713,5.7499
Figs,5.75,6.13,6.8371,7.3233
"Fruit cocktail, packed in juice",1.49,1.41,1.7198,2.394
"Fruit cocktail, packed in syrup or water",1.24,1.26,1.5932,2.0996
Grapefruit,0.9,1.01,1.1695,1.4444
"Grapefruit, ready-to-drink",0.67,0.85,1.0415,1.1935
Grapes,2.09,2.24,1.8398,2.0363
Grapes (raisins),3.5,3.58,3.7801,3.9936
"Grapes, ready-to-drink",0.91,0.85,0.9215,1.0509
"Grapes, frozen concentrate",0.72,0.74,0.7119,0.7524
Honeydew,0.8,0.83,0.9056,1.1589
Kiwi,2.04,2.18,2.1849,2.6064
Mangoes,1.38,1.32,1.1513,1.4698
Mangoes,8.5,10.16,10.5527,10.3035
Nectarines,1.76,1.88,1.9062,2.3721
Oranges,1.04,1.1,1.2131,1.4624
"Oranges, ready-to-drink",0.8,0.85,0.9842,1.0572
"Oranges, frozen concentrate",0.69,0.66,0.769,0.7338
Papaya,1.3,1.29,1.2904,1.3375
Papaya,4.57,5.27,5.5089,7.4854
Peaches,1.59,1.68,1.7167,2.1785
"Peaches, packed in juice",1.96,1.88,2.0237,2.2503
"Peaches, packed in syrup or water",1.51,1.59,1.8117,2.0102
Peaches,2.89,3.19,3.3867,3.6058
Pears,1.46,1.52,1.5865,1.8472
"Pears, packed in juice",1.85,1.79,1.9546,2.14
"Pears, packed in syrup or water",1.63,1.57,1.897,2.092
Pineapple,0.63,0.65,0.5685,0.617
"Pineapple, packed in juice",1.14,1.28,1.4344,1.6509
"Pineapple, packed in syrup or water",1.13,1.36,1.4067,1.7771
Pineapple,5.5,5.87,6.6492,7.0133
"Pineapple, ready-to-drink",0.91,0.97,1.0288,1.2243
"Pineapple, frozen concentrate",0.59,0.62,0.6973,0.7256
Plum,1.83,1.99,2.0292,2.5259
Plum (prunes),4.04,4.73,5.7042,6.3293
"Plum (prune), ready-to-drink",1.16,1.45,1.5522,1.6988
Pomegranate,2.17,2.08,2.235,2.4672
"Pomegranate, ready-to-drink",2.94,3.01,3.122,3.2788
Raspberries,6.98,6.77,6.6391,7.7338
Raspberries,4.45,4.76,4.1877,6.159
Strawberries,2.36,2.51,2.58,2.9682
Strawberries,2.38,2.61,2.8189,3.3421
Watermelon,0.33,0.32,0.3604,0.382
