Fruit2022,FormF2022,RetailCostPer Pound/PintF2022,Vegetable2022,FormV2022,RetailCostPer Pound/PintV2022,Fruit2020,FormF2020,RetailCostPer Pound/PintF2020,Vegetable2020,FormV2020,RetailCostPer Pound/PintV2020,Fruit2016,FormF2016,RetailCostPer Pound/PintF2016,Vegetable2016,FormV2016,RetailCostPer Pound/PintV2016,Fruit2013,FormF2013,RetailCostPer Pound/PintF2013,Vegetable2013,FormV2013,RetailCostPer Pound/PintV2013
Apples,Fresh,1.8541,Acorn squash,Fresh,1.2136,Apples,Fresh,1.5193,Acorn squash,Fresh,1.1804,Apples,Fresh,1.62,Acorn squash,Fresh,1.12,Apples,Fresh,1.57,Acorn squash,Fresh,1.17
"Apples, applesauce",Canned,1.1705,Artichoke,Fresh,2.4703,"Apples, applesauce",Canned,1.066,Artichoke,Fresh,2.1913,"Apples, applesauce",Canned,1.05,Artichoke,Fresh,2.36,"Apples, applesauce",Canned,1.08,Artichoke,Fresh,2.21
"Apples, ready-to-drink",Juice,0.8699,Artichoke,Canned,3.4498,"Apples, ready-to-drink",Juice,0.7804,Artichoke,Canned,3.4119,"Apples, ready-to-drink",Juice,0.63,Artichoke,Canned,3.32,"Apples, ready-to-drink",Juice,0.73,Artichoke,Canned,3.39
"Apples, frozen concentrate",Juice,0.6086,Artichoke,Frozen,,"Apples, frozen concentrate",Juice,0.5853,Artichoke,Frozen,,"Apples, frozen concentrate",Juice,0.51,Artichoke,Frozen,5.77,"Apples, frozen concentrate",Juice,0.54,Artichoke,Frozen,6.22
Apricots,Fresh,3.6162,Asparagus,Fresh,2.9531,Apricots,Fresh,2.9665,Asparagus,Fresh,2.7576,Apricots,Fresh,3.09,Asparagus,Fresh,3.08,Apricots,Fresh,3.04,Asparagus,Fresh,3.21
"Apricots, packed in juice",Canned,1.8645,Asparagus,Canned,3.4328,"Apricots, packed in juice",Canned,1.6905,Asparagus,Canned,3.1269,"Apricots, packed in juice",Canned,1.47,Asparagus,Canned,2.72,"Apricots, packed in juice",Canned,1.65,Asparagus,Canned,2.58
"Apricots, packed in syrup or water",Canned,2.2362,Asparagus,Frozen,6.8212,"Apricots, packed in syrup or water",Canned,2.06,Asparagus,Frozen,6.7045,"Apricots, packed in syrup or water",Canned,1.86,Asparagus,Frozen,6.07,"Apricots, packed in syrup or water",Canned,1.55,Asparagus,Frozen,5.86
Apricots,Dried,7.6611,Avocados,Fresh,2.6737,Apricots,Dried,6.6188,Avocados,Fresh,2.2368,Apricots,Dried,7.33,Avocados,Fresh,2.23,Apricots,Dried,7.73,Avocados,Fresh,2.24
Bananas,Fresh,0.5971,Beets,Canned,1.1431,Bananas,Fresh,0.5249,Beets,Canned,1.2684,Bananas,Fresh,0.55,Beets,Canned,0.94,Bananas,Fresh,0.57,Beets,Canned,1.02
"Berries, mixed",Frozen,4.2673,Black beans,Canned,1.2387,"Berries, mixed",Frozen,3.5585,Black beans,Canned,1.0281,"Berries, mixed",Frozen,3.64,Black beans,Canned,0.95,"Berries, mixed",Frozen,3.41,Black beans,Canned,0.98
Blackberries,Fresh,6.7483,Black beans,Dried,1.525,Blackberries,Fresh,6.0172,Black beans,Dried,1.3753,Blackberries,Fresh,5.66,Black beans,Dried,1.4,Blackberries,Fresh,5.77,Black beans,Dried,1.49
Blackberries,Frozen,4.8277,Blackeye peas,Canned,1.3164,Blackberries,Frozen,3.6362,Blackeye peas,Canned,1.0375,Blackberries,Frozen,3.69,Blackeye peas,Canned,0.93,Blackberries,Frozen,3.39,Blackeye peas,Canned,0.91
Blueberries,Fresh,4.1575,Blackeye peas,Dried,1.9265,Blueberries,Fresh,4.1739,Blackeye peas,Dried,1.7584,Blueberries,Fresh,4.39,Blackeye peas,Dried,1.61,Blueberries,Fresh,4.73,Blackeye peas,Dried,1.59
Blueberries,Frozen,3.821,Broccoli florets,Fresh,2.9162,Blueberries,Frozen,3.3898,Broccoli florets,Fresh,2.7486,Blueberries,Frozen,3.47,Broccoli florets,Fresh,2.36,Blueberries,Frozen,3.64,Broccoli florets,Fresh,2.57
Cantaloupe,Fresh,0.7523,Broccoli heads,Fresh,3.082,Cantaloupe,Fresh,0.5767,Broccoli heads,Fresh,2.3065,Cantaloupe,Fresh,0.52,Broccoli heads,Fresh,1.92,Cantaloupe,Fresh,0.54,Broccoli heads,Fresh,1.64
Cherries,Fresh,4.6632,Broccoli,Frozen,2.3458,Cherries,Fresh,3.4269,Broccoli,Frozen,2.1543,Cherries,Fresh,3.21,Broccoli,Frozen,1.82,Cherries,Fresh,3.59,Broccoli,Frozen,1.87
"Cherries, packed in syrup or water",Canned,5.2418,Brussels sprouts,Fresh,2.9139,"Cherries, packed in syrup or water",Canned,4.5257,Brussels sprouts,Fresh,2.6895,"Cherries, packed in syrup or water",Canned,3.73,Brussels sprouts,Fresh,2.96,"Cherries, packed in syrup or water",Canned,3.52,Brussels sprouts,Fresh,2.76
