Vegetables,Year,RetailCost
Acorn squash,2013,1.17
Acorn squash,2016,1.12
Acorn squash,2020,1.1804
Acorn squash,2022,1.2136
Artichoke,2013,2.21
Artichoke,2016,2.36
Artichoke,2020,2.1913
Artichoke,2022,2.4703
Artichoke,2013,3.39
Artichoke,2016,3.32
Artichoke,2020,3.4119
Artichoke,2022,3.4498
Asparagus,2013,3.21
Asparagus,2016,3.08
Asparagus,2020,2.7576
Asparagus,2022,2.9531
Asparagus,2013,2.58
Asparagus,2016,2.72
Asparagus,2020,3.1269
Asparagus,2022,3.4328
Asparagus,2013,5.86
Asparagus,2016,6.07
Asparagus,2020,6.7045
Asparagus,2022,6.8212
Avocados,2013,2.24
Avocados,2016,2.23
Avocados,2020,2.2368
Avocados,2022,2.6737
Beets,2013,1.02
Beets,2016,0.94
Beets,2020,1.2684
Beets,2022,1.1431
Black beans,2013,0.98
Black beans,2016,0.95
Black beans,2020,1.0281
Black beans,2022,1.2387
Black beans,2013,1.49
Black beans,2016,1.4
Black beans,2020,1.3753
Black beans,2022,1.525
Blackeye peas,2013,0.91
Blackeye peas,2016,0.93
Blackeye peas,2020,1.0375
Blackeye peas,2022,1.3164
Blackeye peas,2013,1.59
Blackeye peas,2016,1.61
Blackeye peas,2020,1.7584
Blackeye peas,2022,1.9265
Broccoli florets,2013,2.57
Broccoli florets,2016,2.36
Broccoli florets,2020,2.7486
Broccoli florets,2022,2.9162
Broccoli heads,2013,1.64
Broccoli heads,2016,1.92
Broccoli heads,2020,2.3065
Broccoli heads,2022,3.082
Broccoli,2013,1.87
Broccoli,2016,1.82
Broccoli,2020,2.1543
Broccoli,2022,2.3458
Brussels sprouts,2013,2.76
Brussels sprouts,2016,2.96
Brussels sprouts,2020,2.6895
Brussels sprouts,2022,2.9139
Brussels sprouts,2013,2.14
Brussels sprouts,2016,2.04
Brussels sprouts,2020,2.6214
Brussels sprouts,2022,2.5949
Butternut squash,2013,1.24
Butternut squash,2016,1.29
Butternut squash,2020,1.2325
Butternut squash,2022,1.2691
"Cabbage, green",2013,0.58
"Cabbage, green",2016,0.62
"Cabbage, green",2020,0.7025
"Cabbage, green",2022,0.797
"Cabbage, red",2013,1.06
"Cabbage, red",2016,1.02
"Cabbage, red",2020,1.0985
"Cabbage, red",2022,1.2604
"Cabbage, sauerkraut",2013,1.26
"Cabbage, sauerkraut",2016,1.15
"Cabbage, sauerkraut",2020,1.2823
"Cabbage, sauerkraut",2022,1.478
"Carrots, cooked whole",2013,0.74
"Carrots, cooked whole",2016,0.77
"Carrots, cooked whole",2020,0.8703
"Carrots, cooked whole",2022,0.9761
"Carrots, raw whole",2013,0.74
"Carrots, raw whole",2016,0.77
"Carrots, raw whole",2020,0.8703
"Carrots, raw whole",2022,0.9761
"Carrots, baby",2013,1.45
"Carrots, baby",2016,1.44
"Carrots, baby",2020,1.2716
"Carrots, baby",2022,1.3507
Carrots,2013,1.06
Carrots,2016,0.92
Carrots,2020,1.1315
Carrots,2022,1.1979
Carrots,2013,1.46
